,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,new_sum_loans,new_div_loans,exist_NY,grade_cat
202,,,5400,5400,5400, 36 months,14.47,185.8,C,C2,Shift Supervisor,2 years,MORTGAGE,25000,Source Verified,Dec-18,Current,n,,,credit_card,Credit card refinancing,731xx,OK,9.46,2,Jan-04,0,19.0,,5,0,3946,34.9,5,w,5157.17,5157.17,365.09,365.09,242.83,122.26,0,0,0,Feb-19,185.8,Mar-19,Feb-19,0,,1,Individual,,,,0,0,4135,0,1,0,1,22.0,189,14.0,1,1,1897,33,11300,0,1,0,2,827,7354.0,34.9,0,0,22.0,179,11,11,0,11.0,19.0,21.0,19.0,0,3,3,4,4,1,4,4,3,5,0.0,0,0,1,60.0,75.0,0,0,12700,4135,11300,1400,,,,,,,,,,,,N,10800,373.1859018659295,False,2
203,,,10000,10000,10000, 36 months,19.92,371.23,D,D3,,,OWN,17440,Verified,Dec-18,Current,n,,,credit_card,Credit card refinancing,380xx,TN,39.5,0,Nov-02,1,,,9,0,4827,20.7,12,w,9586.13,9586.13,725.86,725.86,413.87,311.99,0,0,0,Feb-19,371.23,Mar-19,Feb-19,0,,1,Individual,,,,0,0,22504,2,2,1,2,7.0,17677,71.0,5,5,1576,47,23300,1,0,6,7,2500,11185.0,22.9,0,0,138.0,193,0,0,0,4.0,,0.0,,0,4,6,4,4,3,7,9,6,9,0.0,0,0,6,100.0,0.0,0,0,48113,22504,14500,24813,,,,,,,,,,,,N,20000,502.008032128514,False,3
204,,,10000,10000,10000, 36 months,14.47,344.07,C,C2,Workforce Analyst,7 years,RENT,90000,Source Verified,Dec-18,Current,n,,,credit_card,Credit card refinancing,431xx,OH,16.07,1,Sep-94,1,1.0,,20,0,13007,38.0,31,w,9776.51,9776.51,336.03,336.03,223.49,112.54,0,0,0,Feb-19,348.09,Mar-19,Feb-19,0,76.0,1,Individual,,,,0,1044,161935,4,5,2,4,3.0,148928,92.0,2,6,4181,69,34200,4,2,5,10,8097,3221.0,58.2,0,0,291.0,80,4,3,0,18.0,,4.0,1.0,1,2,13,3,3,16,15,15,13,20,0.0,0,0,4,93.3,0.0,0,0,177829,161935,7700,143629,,,,,,,,,,,,N,20000,691.085003455425,False,2
205,,,25000,25000,25000, 36 months,16.91,890.2,C,C5,Captain,3 years,RENT,67000,Source Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,671xx,KS,13.18,0,Aug-96,3,46.0,,16,0,17053,29.3,20,w,23916.6,23916.6,1745.17,1745.17,1083.4,661.77,0,0,0,Feb-19,890.2,Mar-19,Feb-19,0,46.0,1,Individual,,,,0,0,23438,4,0,0,1,15.0,6385,78.0,5,10,4796,35,58200,1,1,3,11,1465,25347.0,40.2,0,0,162.0,268,1,1,1,1.0,,2.0,79.0,2,9,9,10,10,2,15,17,9,16,0.0,0,0,5,89.5,10.0,0,0,66400,23438,42400,8200,,,,,,,,,,,,N,50000,1478.415138971023,False,2
206,,,6000,6000,6000, 36 months,6.46,183.79,A,A1,Senior manager,3 years,RENT,27000,Not Verified,Dec-18,Current,n,,,credit_card,Credit card refinancing,951xx,CA,7.64,0,Aug-04,0,68.0,,4,0,4601,55.4,6,w,5696.2,5696.2,350.36,350.36,303.8,46.56,0,0,0,Feb-19,183.79,Mar-19,Feb-19,0,68.0,1,Individual,,,,0,0,4601,1,0,0,0,,0,,1,1,1929,55,8300,0,0,1,1,1150,2163.0,65.7,0,0,,172,3,3,0,38.0,68.0,10.0,68.0,1,3,4,3,5,0,4,6,4,4,0.0,0,0,1,83.3,33.3,0,0,8300,4601,6300,0,,,,,,,,,,,,N,12000,928.7925696594427,False,0
207,,,7000,7000,7000, 36 months,10.33,226.96,B,B1,Reference/YA Librarian,3 years,RENT,45581,Not Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,018xx,MA,17.4,0,Mar-00,0,,,8,0,15786,92.9,19,w,6665.16,6665.16,447.89,447.89,334.84,113.05,0,0,0,Feb-19,226.96,Mar-19,Feb-19,0,,1,Individual,,,,0,0,103678,1,4,0,0,51.0,87892,107.0,1,1,3314,104,17000,0,2,0,1,12960,470.0,92.8,0,0,189.0,225,6,6,0,25.0,,,,0,2,3,2,5,8,4,11,3,8,0.0,0,0,1,100.0,100.0,0,0,99299,103678,6500,82299,,,,,,,,,,,,N,14000,677.6379477250726,False,1
208,,,30000,30000,30000, 60 months,12.98,682.29,B,B5,Senior Software Engineer,2 years,MORTGAGE,113000,Not Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,483xx,MI,16.26,0,Jun-15,1,,,11,0,22389,37.6,14,w,29280.55,29280.55,1332.13,1332.13,719.45,612.68,0,0,0,Feb-19,682.29,Mar-19,Feb-19,0,,1,Individual,,,,0,0,38209,1,2,0,1,24.0,15820,34.0,1,5,6438,36,59500,3,0,3,6,3474,34065.0,38.8,0,0,42.0,37,6,6,0,6.0,,0.0,,0,5,6,8,9,2,9,11,6,11,0.0,0,0,1,100.0,0.0,0,0,105874,38209,55700,46374,,,,,,,,,,,,N,60000,2311.248073959938,False,1
209,,,5000,5000,5000, 36 months,16.14,176.14,C,C4,Software Consultant,6 years,RENT,110000,Not Verified,Dec-18,Current,n,,,other,Other,088xx,NJ,8.47,0,Apr-13,1,,,4,0,25384,91.0,5,w,4780.76,4780.76,345.56,345.56,219.24,126.32,0,0,0,Feb-19,176.14,Mar-19,Feb-19,0,,1,Individual,,,,0,0,27102,0,1,0,0,40.0,1718,34.0,0,1,12774,91,28000,0,0,1,1,6775,9333.0,91.0,0,0,57.0,68,19,19,0,19.0,,0.0,,0,3,3,3,3,2,3,3,2,4,,0,0,0,100.0,66.7,0,0,33000,27102,28000,5000,,,,,,,,,,,,N,10000,309.7893432465923,False,2
210,,,15000,15000,15000, 36 months,15.02,520.13,C,C3,Financial Planner,10+ years,MORTGAGE,175000,Source Verified,Dec-18,Current,n,,,home_improvement,Home improvement,070xx,NJ,17.02,2,Sep-00,0,18.0,,17,0,45308,66.5,27,w,14331.08,14331.08,1021.48,1021.48,668.92,352.56,0,0,0,Feb-19,520.13,Mar-19,Feb-19,0,,1,Individual,,,,0,0,331195,1,2,0,1,23.0,24965,42.0,1,4,17479,53,68100,0,1,0,5,19482,11804.0,78.6,0,0,119.0,219,5,5,1,5.0,18.0,19.0,18.0,0,8,9,9,11,4,13,21,9,17,0.0,0,0,1,92.3,66.7,0,0,445819,75240,55100,59450,,,,,,,,,,,,N,30000,998.6684420772303,False,2
211,,,15000,15000,15000, 60 months,13.56,345.62,C,C1,"Manager, Patient Finance",4 years,MORTGAGE,75000,Source Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,270xx,NC,11.79,0,Apr-01,1,,66.0,15,1,1866,3.5,51,w,14645.77,14645.77,674.29,674.29,354.23,320.06,0,0,0,Feb-19,345.62,Mar-19,Feb-19,0,,1,Individual,,,,0,0,102287,1,4,1,5,7.0,100421,90.0,2,4,623,40,53500,1,1,2,9,7306,12777.0,4.6,0,0,162.0,212,4,4,6,4.0,,5.0,,0,1,2,4,12,22,11,23,2,13,0.0,0,0,3,100.0,0.0,1,0,154946,102287,13400,101446,,,,,,,,,,,,N,30000,1106.1946902654868,False,2
212,,,20000,20000,20000, 36 months,14.47,688.13,C,C2,bus driver,4 years,OWN,52000,Source Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,681xx,NE,30.65,1,Jun-79,2,15.0,,6,0,15048,73.0,22,w,19100.68,19100.68,1287.83,1287.83,899.32,388.51,0,0,0,Feb-19,688.13,Mar-19,Feb-19,0,,1,Individual,,,,0,0,33157,0,2,1,1,8.0,18109,44.0,1,2,8628,73,20700,1,1,4,3,5526,5175.0,73.0,0,0,141.0,474,10,8,0,10.0,15.0,1.0,15.0,0,4,4,11,12,8,4,14,4,6,,0,0,2,95.0,50.0,0,0,61699,33157,20700,40999,,,,,,,,,,,,N,40000,1382.17000691085,False,2
213,,,20400,20400,20400, 60 months,10.33,436.76,B,B1,Bakery Manager,10+ years,MORTGAGE,140000,Not Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,815xx,CO,5.04,0,Dec-89,0,,,13,0,6516,9.0,27,w,19875.45,19875.45,855.96,855.96,524.55,331.41,0,0,0,Feb-19,436.76,Mar-19,Feb-19,0,,1,Joint App,240000.0,3.17,Not Verified,0,0,430872,2,1,1,2,10.0,15561,92.0,2,2,2779,25,72200,0,5,1,6,33144,40101.0,8.9,0,0,121.0,348,2,2,4,2.0,,11.0,,0,2,4,6,8,8,11,15,4,13,0.0,0,0,4,100.0,0.0,0,0,504296,22077,44000,16896,7957.0,Jun-02,0.0,4.0,9.0,13.3,1.0,9.0,0.0,0.0,,N,40800,1974.8305905130687,False,1
214,,,20000,20000,20000, 60 months,12.98,454.86,B,B5,Esthetician ,< 1 year,RENT,40000,Source Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,945xx,CA,27.54,0,Jul-05,0,,,10,0,8671,36.9,14,w,19520.36,19520.36,844.83,844.83,479.64,365.19,0,0,0,Feb-19,454.86,Mar-19,Feb-19,0,,1,Joint App,104000.0,15.44,Source Verified,0,0,244925,1,2,1,2,10.0,20432,75.0,2,3,5978,57,23500,1,2,2,5,24493,7508.0,53.1,0,0,143.0,161,1,1,2,13.0,,10.0,,1,2,3,2,2,4,7,8,3,10,0.0,0,0,3,92.9,50.0,0,0,278909,29103,16000,27409,16728.0,Jan-09,1.0,0.0,9.0,47.7,2.0,8.0,0.0,0.0,20.0,N,40000,1540.8320493066255,False,1
215,,,8425,8425,8425, 36 months,27.27,345.18,E,E5,Senior Director Risk Management,3 years,MORTGAGE,450000,Verified,Dec-18,Fully Paid,n,,,credit_card,Credit card refinancing,020xx,MA,12.37,0,Oct-97,0,,,21,0,36812,65.7,37,w,0.0,0.0,8735.148975,8735.15,8425.0,310.15,0,0,0,Feb-19,8754.3,,Feb-19,0,,1,Joint App,515000.0,16.47,Not Verified,0,0,690320,0,6,1,6,12.0,152382,70.0,1,4,9744,68,56000,7,0,5,10,34516,11632.0,74.6,0,0,254.0,89,12,12,4,18.0,,4.0,,0,6,8,8,10,16,13,17,8,21,0.0,0,0,2,100.0,50.0,0,0,768304,189194,45800,189054,141905.0,Jun-13,0.0,1.0,4.0,77.4,1.0,4.0,0.0,0.0,,N,16850,308.947561422809,False,4
216,,,21000,21000,21000, 36 months,16.91,747.77,C,C5,,< 1 year,OWN,68000,Not Verified,Dec-18,Current,n,,,house,Home buying,347xx,FL,9.16,0,Aug-00,0,35.0,,6,0,890,19.8,14,w,20092.28,20092.28,1465.95,1465.95,907.72,558.23,0,0,0,Feb-19,747.77,Mar-19,Feb-19,0,37.0,1,Individual,,,,0,0,31650,1,4,1,1,11.0,30760,80.0,1,2,628,74,4500,1,1,2,3,5275,3610.0,19.8,0,0,220.0,41,1,1,0,1.0,35.0,2.0,35.0,4,2,2,2,3,10,2,4,2,6,0.0,0,0,2,64.3,0.0,0,0,43057,31650,4500,38557,,,,,,,,,,,,N,42000,1241.8687167356593,False,2
217,,,10000,10000,10000, 36 months,14.47,344.07,C,C2,Software Engineer,8 years,MORTGAGE,143000,Not Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,787xx,TX,24.53,0,Aug-87,0,34.0,,16,0,44047,72.9,23,w,9550.33,9550.33,676.08,676.08,449.67,226.41,0,0,0,Feb-19,344.07,Mar-19,Feb-19,0,75.0,1,Individual,,,,0,0,302748,2,3,0,1,15.0,35243,51.0,4,8,14714,62,60400,2,2,2,9,18922,5026.0,87.9,0,0,193.0,376,2,2,2,2.0,34.0,8.0,34.0,1,7,10,8,10,5,12,16,10,16,0.0,0,0,4,90.5,37.5,0,0,368908,79290,41400,68508,,,,,,,,,,,,N,20000,691.085003455425,False,2
218,,,15000,15000,15000, 36 months,15.02,520.13,C,C3,,,MORTGAGE,42000,Verified,Dec-18,Current,n,,,home_improvement,Home improvement,232xx,VA,12.17,2,Jul-07,1,9.0,,5,0,5905,74.0,8,w,14331.08,14331.08,1021.48,1021.48,668.92,352.56,0,0,0,Feb-19,520.13,Mar-19,Feb-19,0,,1,Individual,,,,0,0,28520,1,1,0,1,18.0,5845,84.0,2,2,5905,74,8000,0,2,2,3,5704,2667.0,74.0,0,0,137.0,84,1,1,1,1.0,12.0,1.0,12.0,0,3,3,2,3,4,3,3,1,5,,0,0,2,75.0,33.3,0,0,67397,11750,8000,7000,,,,,,,,,,,,N,30000,998.6684420772303,False,2
219,,,24000,24000,24000, 60 months,13.56,552.98,C,C1,Manager,10+ years,MORTGAGE,75000,Not Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,480xx,MI,15.54,0,Oct-08,0,,,18,0,21322,53.8,19,w,23433.26,23433.26,1078.84,1078.84,566.74,512.1,0,0,0,Feb-19,552.98,Mar-19,Feb-19,0,,1,Individual,,,,0,94,28019,0,1,0,0,39.0,6697,45.0,0,1,6690,51,39600,0,0,0,1,1557,5309.0,80.0,0,0,39.0,122,15,15,0,29.0,,,,0,9,11,10,11,1,17,18,11,18,0.0,0,0,0,100.0,50.0,0,0,54600,28019,26500,15000,,,,,,,,,,,,N,48000,1769.9115044247787,False,2
220,,,15000,15000,15000, 60 months,14.47,352.69,C,C2,"VP, Solutions Management",9 years,RENT,280000,Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,605xx,IL,16.15,0,Jul-91,0,,,15,0,145631,85.0,18,w,14654.3,14654.3,687.29,687.29,345.7,341.59,0,0,0,Feb-19,352.69,Mar-19,Feb-19,0,,1,Individual,,,,0,0,353087,0,1,1,1,11.0,8105,72.0,2,4,15981,85,170400,0,0,1,5,23539,4422.0,99.0,0,0,133.0,295,11,11,2,11.0,,11.0,,0,9,12,10,10,2,12,14,12,15,,0,0,3,100.0,100.0,0,0,439690,92505,39800,11223,,,,,,,,,,,,N,30000,1036.6275051831374,False,2
221,,,5000,5000,5000, 36 months,10.72,163.04,B,B2,Teacher,5 years,OWN,72000,Not Verified,Dec-18,Current,n,,,credit_card,Credit card refinancing,906xx,CA,11.42,0,Apr-88,1,81.0,,9,0,8908,46.9,21,w,4762.2,4762.2,321.61,321.61,237.8,83.81,0,0,0,Feb-19,163.04,Mar-19,Feb-19,0,,1,Individual,,,,0,0,17039,0,1,1,1,11.0,8131,67.0,1,5,2067,55,19000,1,0,2,6,1893,4757.0,49.4,0,0,135.0,368,9,9,0,9.0,,2.0,81.0,0,4,5,4,5,7,8,14,5,9,0.0,0,0,2,95.2,25.0,0,0,31197,17039,9400,12197,,,,,,,,,,,,N,10000,466.4179104477612,False,1
222,,,30000,30000,30000, 60 months,20.89,809.75,D,D4,PRIVATE CLIENT BANKER,2 years,RENT,120000,Source Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,912xx,CA,5.89,0,Oct-14,0,,,7,0,15630,59.9,9,w,29420.0,29420.0,1567.28,1567.28,580.0,987.28,0,0,0,Feb-19,809.75,Mar-19,Feb-19,0,,1,Individual,,,,0,0,25284,1,1,2,2,8.0,9654,97.0,2,3,5994,70,26100,1,1,1,5,3612,9765.0,59.8,0,0,8.0,50,1,1,0,12.0,,8.0,,0,5,6,5,6,2,6,7,6,7,0.0,0,0,4,100.0,20.0,0,0,36100,25284,24300,10000,,,,,,,,,,,,N,60000,1436.0938247965532,False,3
223,,,35000,35000,35000, 60 months,19.92,925.73,D,D3,OPERATOR,10+ years,MORTGAGE,68000,Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,309xx,GA,50.67,0,Nov-06,0,,,15,0,21426,72.4,19,w,34304.82,34304.82,1793.36,1793.36,695.18,1098.18,0,0,0,Feb-19,925.73,Mar-19,Feb-19,0,,1,Joint App,142000.0,33.2,Verified,0,0,386561,0,3,0,3,15.0,117426,74.0,1,8,4815,73,29600,3,3,2,11,25771,6686.0,72.9,0,0,46.0,145,10,10,1,13.0,,0.0,,0,9,11,9,10,5,11,13,11,15,0.0,0,0,1,100.0,33.3,0,0,432156,138852,24700,140677,55728.0,Feb-99,0.0,0.0,15.0,45.5,5.0,15.0,0.0,0.0,46.0,N,70000,1757.028112449799,False,3
224,,,3000,3000,3000, 36 months,10.33,97.27,B,B1,Driver,7 years,RENT,40000,Source Verified,Dec-18,Current,n,,,credit_card,Credit card refinancing,493xx,MI,10.68,0,Oct-14,1,,67.0,3,1,3092,44.2,5,w,2856.49,2856.49,191.96,191.96,143.51,48.45,0,0,0,Feb-19,97.27,Mar-19,Feb-19,0,,1,Individual,,,,0,0,12563,2,1,2,3,4.0,9471,95.0,0,0,3049,74,7000,4,2,2,3,4188,3908.0,44.2,0,0,13.0,50,46,4,0,46.0,,0.0,,0,2,2,2,2,3,2,2,2,3,0.0,0,0,2,100.0,0.0,1,0,17000,12563,7000,10000,,,,,,,,,,,,N,6000,290.4162633107454,False,1
225,,,1000,1000,975, 36 months,6.46,30.64,A,A1,Service Consultant ,3 years,MORTGAGE,49989,Not Verified,Dec-18,Current,n,,,credit_card,Credit card refinancing,280xx,NC,15.43,0,Jul-02,0,39.0,,4,0,3257,88.0,12,f,949.35,925.62,60.74,59.22,50.65,10.09,0,0,0,Feb-19,30.64,Mar-19,Feb-19,0,49.0,1,Individual,,,,0,0,88884,1,1,0,0,75.0,2252,7.0,1,2,2941,14,3700,0,1,0,2,22221,59.0,98.0,0,0,75.0,197,2,2,2,16.0,58.0,16.0,45.0,4,1,2,1,4,1,2,9,2,4,0.0,0,0,1,33.3,100.0,0,0,160996,5509,3000,34806,,,,,,,,,,,,N,2000,154.79876160990713,False,0
226,,,10000,10000,10000, 60 months,14.47,235.13,C,C2,Teacher,5 years,RENT,66931,Not Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,104xx,NY,9.07,0,Sep-09,1,25.0,,13,0,11136,37.5,26,w,9769.53,9769.53,458.2,458.2,230.47,227.73,0,0,0,Feb-19,235.13,Mar-19,Feb-19,0,25.0,1,Individual,,,,0,0,43571,1,1,0,1,24.0,32435,97.0,2,4,5080,69,29700,0,0,1,5,3352,12164.0,47.8,0,0,111.0,90,5,5,0,5.0,25.0,5.0,25.0,0,4,4,5,5,14,12,12,4,13,0.0,0,0,2,88.5,40.0,0,0,63079,43571,23300,33379,,,,,,,,,,,,N,20000,691.085003455425,True,2
227,,,5000,5000,5000, 36 months,11.31,164.43,B,B3,,,RENT,13000,Not Verified,Dec-18,Current,n,,,credit_card,Credit card refinancing,159xx,PA,14.59,0,May-10,1,,,3,0,3931,57.8,3,w,4764.28,4764.28,324.15,324.15,235.72,88.43,0,0,0,Feb-19,164.43,Mar-19,Feb-19,0,,1,Individual,,,,0,0,3931,1,0,0,0,,0,,1,1,471,58,6800,0,0,1,1,1310,29.0,94.2,0,0,,103,5,5,0,103.0,,5.0,,0,1,3,1,1,0,3,3,3,3,0.0,0,0,1,100.0,100.0,0,0,6800,3931,500,0,,,,,,,,,,,,N,10000,442.0866489832007,False,1
228,,,16500,16500,16500, 60 months,17.97,418.73,D,D1,case manager ,5 years,MORTGAGE,37000,Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,775xx,TX,52.09,0,Oct-01,1,,,9,0,10606,82.9,18,w,16328.35,16328.35,435.21,435.21,171.65,263.56,0,0,0,Feb-19,459.92,Mar-19,Feb-19,0,,1,Joint App,75000.0,31.6,,0,818,120121,1,3,0,1,19.0,70500,44.0,1,3,3130,57,12800,0,1,1,4,13347,726.0,90.7,0,0,206.0,134,3,3,1,15.0,,1.0,,0,3,5,3,4,8,5,9,5,9,0.0,0,0,1,100.0,100.0,0,0,155305,81106,7800,94643,18602.0,Jan-05,1.0,1.0,8.0,86.6,2.0,8.0,0.0,0.0,46.0,N,33000,918.1969949916528,False,3
229,,,6000,6000,6000, 36 months,15.02,208.06,C,C3,Shift Supervisor,5 years,MORTGAGE,30000,Source Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,112xx,NY,17.48,0,Oct-14,2,,,16,0,5323,11.9,19,w,5732.42,5732.42,408.61,408.61,267.58,141.03,0,0,0,Feb-19,208.06,Mar-19,Feb-19,0,,1,Individual,,,,0,0,12739,2,1,1,2,4.0,7416,95.0,3,5,1662,24,44600,2,0,3,7,796,16153.0,22.3,0,0,22.0,50,2,2,0,2.0,,2.0,,0,5,7,6,6,2,15,17,7,16,0.0,0,0,4,100.0,0.0,0,0,52400,12739,20800,7800,,,,,,,,,,,,N,12000,399.46737683089214,True,2
230,,,35000,35000,35000, 60 months,12.98,796.0,B,B5,Sr. Vice President -Risk Manager,7 years,MORTGAGE,211646,Source Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,797xx,TX,15.09,0,Sep-85,0,77.0,,13,0,55944,74.9,39,w,34160.65,34160.65,1554.14,1554.14,839.35,714.79,0,0,0,Feb-19,796.0,Mar-19,Feb-19,0,,1,Joint App,272421.0,15.89,Source Verified,0,0,420931,1,3,1,2,5.0,26570,51.0,0,2,24795,65,74700,1,6,1,4,32379,8677.0,85.5,0,0,152.0,399,21,5,6,21.0,77.0,12.0,77.0,0,6,8,6,11,14,9,19,8,13,0.0,0,0,1,97.4,66.7,0,0,516204,82514,59700,51904,88364.0,Sep-85,0.0,6.0,19.0,53.4,2.0,29.0,0.0,0.0,,N,70000,2696.4560862865947,False,1
231,,,34575,34575,34575, 60 months,17.97,877.42,D,D1,Compliance manager,5 years,MORTGAGE,130000,Source Verified,Dec-18,Current,n,,,home_improvement,Home improvement,853xx,AZ,26.43,0,Oct-04,0,,103.0,10,1,28904,80.1,23,w,33850.3,33850.3,1703.06,1703.06,724.7,978.36,0,0,0,Feb-19,877.42,Mar-19,Feb-19,0,,1,Individual,,,,0,1173,459207,0,3,0,1,18.0,44886,61.0,0,3,9076,72,36100,2,6,0,5,45921,1801.0,85.8,0,0,170.0,152,15,15,1,15.0,,17.0,,0,3,5,3,7,10,6,12,5,10,0.0,0,0,0,100.0,66.7,1,0,533848,73790,12700,100385,,,,,,,,,,,,N,69150,1924.0400667779634,False,3
232,,,1200,1200,1200, 36 months,17.97,43.37,D,D1,Haz Mat S/R,10+ years,OWN,52000,Not Verified,Dec-18,Current,n,,,vacation,Vacation,605xx,IL,25.61,0,Feb-91,2,,,14,0,18197,48.3,24,w,1148.82,1148.82,84.94,84.94,51.18,33.76,0,0,0,Feb-19,43.37,Mar-19,Feb-19,0,,1,Individual,,,,0,0,29964,2,3,3,4,1.0,11767,95.0,0,0,2317,60,37700,2,3,3,4,2140,7773.0,50.5,0,0,204.0,334,41,1,0,72.0,,3.0,,0,5,10,6,8,9,11,15,10,14,0.0,0,0,3,100.0,66.7,0,0,50041,29964,15700,12341,,,,,,,,,,,,N,2400,66.7779632721202,False,3
233,,,9600,9600,9600, 36 months,12.98,323.37,B,B5,,,MORTGAGE,35704,Not Verified,Dec-18,Current,n,,,home_improvement,Home improvement,401xx,KY,0.84,0,Nov-03,0,69.0,,5,0,748,11.5,23,w,9380.46,9380.46,347.61,347.61,219.54,128.07,0,0,0,Feb-19,357.99,Mar-19,Feb-19,0,,1,Individual,,,,0,0,748,0,0,0,0,44.0,0,,0,3,748,12,6500,0,0,1,3,150,3452.0,17.8,0,0,181.0,100,13,13,0,16.0,,3.0,,0,1,1,2,2,16,5,7,1,5,0.0,0,0,0,95.5,0.0,0,0,6500,748,4200,0,,,,,,,,,,,,N,19200,739.5993836671803,False,1
234,,,4800,4800,4800, 36 months,16.91,170.92,C,C5,Server,9 years,RENT,38500,Source Verified,Dec-18,Current,n,,,credit_card,Credit card refinancing,800xx,CO,28.55,0,Mar-99,0,,,15,0,15743,69.0,16,w,4591.98,4591.98,335.08,335.08,208.02,127.06,0,0,0,Feb-19,170.92,Mar-19,Feb-19,0,,1,Individual,,,,0,0,18904,0,3,0,1,15.0,3161,33.0,0,3,2290,59,22800,0,0,0,4,1260,1392.0,86.4,0,0,36.0,237,13,13,0,16.0,,,,0,6,10,6,7,3,12,13,10,15,0.0,0,0,0,100.0,100.0,0,0,32300,18904,10200,9500,,,,,,,,,,,,N,9600,283.85570668243645,False,2
235,,,5000,5000,5000, 36 months,22.35,191.86,D,D5,Director of Sales,10+ years,MORTGAGE,72000,Source Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,333xx,FL,20.12,0,Mar-10,0,,,13,0,11720,47.1,26,f,4800.69,4800.69,374.41,374.41,199.31,175.1,0,0,0,Feb-19,191.86,Mar-19,Feb-19,0,,1,Individual,,,,0,534,189279,0,1,0,1,18.0,22698,,0,0,4056,47,24900,1,0,1,2,14560,8163.0,55.1,0,0,105.0,90,29,8,5,40.0,,9.0,,0,6,11,6,8,4,11,17,11,13,0.0,0,0,1,100.0,50.0,0,0,218686,34418,18200,37786,,,,,,,,,,,,N,10000,223.71364653243847,False,3
236,,,10000,10000,10000, 60 months,12.98,227.43,B,B5,Printer,9 years,RENT,60000,Not Verified,Dec-18,Current,n,,,credit_card,Credit card refinancing,660xx,KS,14.9,0,May-07,0,,112.0,7,1,10677,54.2,12,w,9760.18,9760.18,393.57,393.57,239.82,153.75,0,0,0,Feb-19,227.43,Mar-19,Feb-19,0,,1,Individual,,,,0,469,27595,0,2,1,1,11.0,16918,103.0,0,1,4337,76,19700,5,0,7,2,3942,4278.0,67.1,0,0,139.0,74,20,11,0,20.0,,0.0,,0,3,5,3,4,6,5,6,5,7,0.0,0,0,1,100.0,33.3,1,0,36200,27595,13000,16500,,,,,,,,,,,,N,20000,770.4160246533128,False,1
